id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class
01100101,Stülerstraße,3419.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100102,Großer Tiergarten,1791.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01100103,Lützowstraße,5211.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100104,Körnerstraße,4636.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100205,Wilhelmstraße,2573.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100206,Unter den Linden,1803.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100207,Leipziger Straße,8312.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100308,Charitéviertel,6967.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01100309,Oranienburger Straße,12352.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100310,Alexanderplatzviertel,9903.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100311,Karl-Marx-Allee,9013.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100312,Heine-Viertel West,9422.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100313,Heine-Viertel Ost,10779.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100414,Nordbahnhof,5178.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100415,Invalidenstraße,12593.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100416,Arkonaplatz,13443.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01200517,Huttenkiez,3725.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig , Dynamik positiv"
01200518,Beusselkiez,6866.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01200519,Emdener Straße,9103.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200520,Bremer Straße,9433.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200521,Zwinglistraße,5235.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01200522,Elberfelder Straße,11333.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200623,Stephankiez,10825.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200624,Heidestraße,5178.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
01200625,Lübecker Straße,6976.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01200626,Thomasiusstraße,5935.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200627,Zillesiedlung,3280.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
01200628,Lüneburger Straße,3132.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200629,Hansaviertel,5807.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01300730,Drontheimer Straße,7957.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300731,Koloniestraße,8545.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300732,Soldiner Straße,9879.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300733,Gesundbrunnen,11665.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300834,Brunnenstraße,14193.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300835,Humboldthain Süd,10443.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01300836,Humboldthain Nordwest,14657.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01400937,Afrikanische Straße,10804.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400938,Kameruner Straße,9725.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400939,Glasgower Straße,5926.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400940,Schillerpark,6794.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01400941,Londoner Straße,3786.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01400942,Westliche Müllerstraße,8643.0,3.0,niedrig,+,positiv,3+,"Status niedrig , Dynamik positiv"
01401043,Antonstraße,7739.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01401044,Uferstraße,10224.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01401045,Schwedenstraße,5722.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
01401046,Nordufer,8781.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
01401047,Sparrplatz,7867.0,3.0,niedrig,+,positiv,3+,"Status niedrig , Dynamik positiv"
01401048,Leopoldplatz,9098.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01401049,Schulstraße,6689.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
02100101,Askanischer Platz,6281.0,3.0,niedrig,-,negativ,3-,"Status niedrig , Dynamik negativ"
02100102,Mehringplatz,8647.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
02100103,Am Berlin Museum,5382.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
02100104,Moritzplatz,5567.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
02100105,Prinzenstraße,9604.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
02100106,Wassertorplatz,5009.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
02200207,Gleisdreieck,2067.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
02200208,Rathaus Yorckstraße,6008.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02200209,Viktoriapark,10969.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02200210,Urbanstraße,12384.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02200211,Chamissokiez,14760.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02200212,Graefekiez Süd,8602.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02200213,Graefekiez Nord,10284.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02300314,Oranienplatz,7587.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
02300315,Lausitzer Platz,8723.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
02300316,Köpenicker Straße,4215.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02300417,Reichenberger Straße West,8433.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02300418,Reichenberger Straße Ost,7710.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02300419,Wrangelkiez,10903.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400520,Barnimkiez,5451.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400521,Friedenstraße,7858.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400522,Richard-Sorge-Viertel,11262.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400623,Andreasviertel,13307.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400624,Weberwiese,11314.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02400625,Wriezener Bahnhof,1136.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
02500726,Hausburgviertel,9134.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500727,Forckenbeckplatz,6623.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500728,Samariterviertel,10109.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500729,Pettenkofer Straße,5441.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500830,Niederbarnimstraße,3931.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500831,Wismarplatz,7877.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500832,Traveplatz,9064.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500833,Boxhagener Platz,10190.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500834,Revaler Straße,11378.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500835,Stralauer Kiez,7868.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
02500836,Stralauer Halbinsel,4709.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03100101,Bucher Forst,4499.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03100102,Klinikum Buch,3214.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
03100103,Karower Chaussee,8979.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03200204,Blankenfelde,2058.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03200205,Uhlandstraße,8696.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03200206,Pastor-Niemöller-Platz,6404.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03200207,Herthaplatz,11464.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03200308,Nisbléstraße,5220.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03200309,Eddastraße,5238.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03200310,Krugpfuhl,7961.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03300411,Karow Nord,11455.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
03300412,Karow Bahnhof,5138.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03300413,Karow Ost,3101.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03300514,Blankenburg,6875.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03300516,Heinersdorf,7779.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
03300517,Märchenland,1120.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03400618,Rosenthal,4742.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03400619,Wilhelmsruh,10438.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400620,Schönholz,3509.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03400721,Florakiez,11438.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400722,Parkstraße,3607.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03400723,Garbátyplatz,7112.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400724,Wolfshagener Straße,7633.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400725,Schlosspark,7450.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400826,Tiroler Viertel,6620.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400827,Trelleborger Viertel,9628.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400828,Spiekermann Straße,4615.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
03400829,Arnold-Zweig-Straße,5583.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03400830,Kissingenviertel,9292.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03500932,Bühringstraße,5096.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
03500933,Weißer See,7551.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03500934,Weißenseer Spitze,10049.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03500935,Behaimstraße,6407.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
03500936,Komponistenviertel Weißensee,9819.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03501037,Rathaus Weißensee,8509.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03501038,Hansastraße,7324.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601139,Norweger Viertel,3795.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601140,Malmöer Straße,5884.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601141,Arnimplatz,6576.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601142,Falkplatz,10744.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601243,Rodenbergstraße,7032.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601244,Humannplatz,7600.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601245,Ostseestraße,12813.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601346,Gethsemanekirche,5470.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601347,Helmholtzplatz,9548.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601348,Senefelderstraße,7516.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601449,Michelangelostraße,9970.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601450,Volkspark Prenzlauer Berg,3965.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
03601451,Anton-Saefkow-Park,6373.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601452,Velodrom,4063.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03601453,Alter Schlachthof,2825.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03701554,Teutoburger Platz,11328.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03701555,Sredzkistraße,7274.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03701556,Kollwitzplatz,8656.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
03701657,Thälmannpark,3188.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
03701658,Christburger Straße,8448.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03701659,Immanuelkirchstraße,9164.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
03701660,Bötzowstraße,12823.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04100101,Jungfernheide/Plötzensee,11548.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
04100102,Paul-Hertz-Siedlung,7855.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
04200203,Olympiagelände,1482.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04200204,Angerburger Allee,2832.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04200205,Flatowallee,2569.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04200206,Kranzallee,2963.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04200207,Eichkamp,3192.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04200308,Branitzer Platz,6379.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
04200309,Neu Westend,6936.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04200310,Fürstenplatz,7809.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
04200311,Königin-Elisabeth-Straße,7218.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300412,Schlossgarten,3329.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
04300413,Klausenerplatz,10334.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300414,Schloßstraße,10786.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
04300415,Lietzensee,6488.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300416,Amtsgerichtsplatz,12145.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300517,Tegeler Weg,9637.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300518,Kaiserin-Augusta-Allee,5930.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300619,Alt-Lietzow,8859.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300620,Spreestadt,3429.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
04300621,Richard-Wagner-Straße,10811.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300622,Ernst-Reuter-Platz,5157.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300623,Karl-August-Platz,12121.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04300624,Savignyplatz,9538.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04400726,Bismarckallee,5470.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
04400727,Flinsberger Platz,8264.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04400728,Hagenplatz,3173.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04400729,Hundekehle,2796.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04400830,Forckenbeckstraße,7119.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04400831,Messelpark,1513.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
04400832,Breite Straße,7023.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04400833,Schlangenbader Straße,4178.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
04400834,Binger Straße,3574.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
04400835,Rüdesheimer Platz,10593.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
